"protein","species","quant","Intensity.03_1x_dda","Intensity.04_2x_dda","Intensity.08_2x_dda","Intensity.11_1x_dda","Intensity.15_1x_dda","Intensity.16_2x_dda","Intensity.19_1x_dda","Intensity.20_2x_dda","Intensity.23_1x_dda","Intensity.24_2x_dda","Intensity.28_2x_dda","Intensity.31_1x_dda","Intensity.35_1x_dda","Intensity.36_2x_dda","Intensity.39_1x_dda","Intensity.40_2x_dda"
"sp|P00568|KAD1_HUMAN","human","dda",5207890,8032168.13445212,11591006.1369904,9124810.16780171,8590775.57044763,9880734.53668802,6153874.36508111,7542103.657016,7986445.36967575,5055249.12305573,6131384.29970115,6043215.77257275,8426676.53546649,5437349.62904252,9561564.34128603,2989755.44727244
"sp|P00846|ATP6_HUMAN","human","dda",16359000,9502932.90803526,6229548.85379334,10702150.9073887,11546075.059704,9595338.49706657,10667822.7929549,9138937.73460095,11823129.313336,4943150.15417156,8570741.94819112,8294373.46395511,9537785.71903871,12523229.798163,4434095.40606302,6617840.01188705
"sp|P00966|ASSY_HUMAN","human","dda",37519500,44508422.6529388,34118856.1531615,28070649.6732385,35097958.0645997,35078497.9862266,17007395.3117556,28182443.4585822,35396739.5404777,21568713.9788311,36005800.0487371,37328467.3707586,37014087.405587,24315472.7283376,41002275.5789793,33776158.9010337
"sp|P01111|RASN_HUMAN","human","dda",26169200,26942406.4034538,32051612.7364469,26920380.6482103,42139615.0386975,43493767.9928666,36127608.6594703,31621693.0328778,31344019.4072654,45343378.6395097,27635340.4098758,25572559.8070142,41534465.2386209,44178543.545782,33193768.8397204,24222209.7061063
"sp|P02144|MYG_HUMAN","human","dda",NA,7111043.42878193,5124243.4685442,NA,6152782.85005411,6958514.46914137,5370609.25490657,3047657.67703162,3704432.03969781,2604011.06707588,3583371.90210079,4576449.66609879,NA,NA,5701244.80552339,3368248.26953612
"sp|P02545|LMNA_HUMAN","human","dda",300511100,249302805.495943,254463993.808382,198195908.068305,276580102.153634,270963826.698243,254140526.458376,233252024.659386,286580755.065589,278033391.242983,299892236.985318,292127697.754542,279229634.971352,240235790.763285,283902289.431344,264537130.884534
"sp|P02786|TFR1_HUMAN","human","dda",384613500,375012191.689038,391047752.754002,312420275.456295,353542893.108152,367904034.676013,317031051.452078,426001593.458227,377848992.423504,416173953.819291,330233474.401785,381344586.903157,360713689.104048,418185512.130865,365607407.103815,380140294.943112
"sp|P02792|FRIL_HUMAN","human","dda",NA,NA,5004632.91889594,NA,1300144.99459023,NA,2627706.46489025,NA,3292510.31155827,NA,NA,2127003.96147852,NA,2858732.4752579,2275284.4405905,2816838.385654
"sp|P02794|FRIH_HUMAN","human","dda",3223100,6659738.17182747,5501542.13621059,NA,6336534.65670558,7949750.81706371,3714382.47848846,7061768.86435662,11231442.5673806,4067186.12980721,10446552.8543559,7540125.42500212,4717694.0910789,5464489.69130082,4444346.63396527,4504033.87142772
"sp|P03928|ATP8_HUMAN","human","dda",5999800,6319277.90493435,7666764.65864886,9876370.91942709,7018284.14814184,5840173.90563504,4991328.1504563,5596619.96235654,6522659.66118397,5121876.03938669,7530380.70695397,5933757.02132218,8204862.81966428,5819862.6624766,4364387.0563277,12107265.6642961
"sp|P04040|CATA_HUMAN","human","dda",20675800,4017743.35799712,23451448.9109427,20030154.1379092,22703444.3745684,19856223.5007576,16642877.2314963,14147093.7719965,12488312.9072833,19504577.2162773,22090585.3354401,26270853.8887875,14910442.4531025,20354942.9473099,19235013.5128195,21750898.3085886
"sp|P04062|GLCM_HUMAN","human","dda",11244300,20248587.2724997,8995469.01717985,26601057.1385066,24518473.0372745,15032721.4972977,8425674.51382338,11045346.308211,11384375.4025962,9609564.15733703,3680969.62042511,8611445.88797356,8934991.13166087,8002894.73449172,28337420.4748265,6434173.22174882
"sp|P04066|FUCO_HUMAN","human","dda",NA,4752339.76494976,9817747.26767392,NA,1383691.48909797,3623058.58958613,NA,NA,NA,NA,7164083.30593737,8165038.81209019,8884588.19899928,4794744.33229974,13474116.3239792,NA
"sp|P04075|ALDOA_HUMAN","human","dda",1364714220,1051688674.50562,1109114892.69876,1115304838.21121,1194309771.92484,1074395752.08177,1112213892.50746,1327188924.43586,1158619159.59307,1520279400.65153,1169392267.66344,1000217678.37466,1322754954.56085,1138206280.26922,1223870540.95194,1081037439.29701
